id,team,sensor,mac,temp,humidity,aqi,tvoc,eco2,created_at,lat,lon,sender,rssi,timestamp
11126,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.47,31.48,1,0,400,33:06.0,36.6301668,127.4561421,,-61,
11127,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.22,39.12,1,31,416,33:05.0,36.6301668,127.4561421,,-90,
11128,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.47,31.48,1,0,400,33:06.0,36.6301668,127.4561421,,-60,
11129,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.5,31.47,1,0,400,33:08.0,36.6303021,127.4560907,,-65,
11130,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.66,35.38,1,2,400,33:08.0,36.6303021,127.4560907,,-88,
11131,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.52,31.47,1,0,400,33:10.0,36.6303021,127.4560907,,-62,
11132,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.52,31.47,1,0,400,33:10.0,36.6303021,127.4560907,,-61,
11133,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.53,31.39,1,0,400,33:12.0,36.6303021,127.4560907,,-63,
11134,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.53,31.39,1,0,400,33:12.0,36.6303021,127.4560907,,-66,
11135,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.53,31.39,1,0,400,33:12.0,36.6303021,127.4560907,,-66,
11136,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.53,31.39,1,0,400,33:12.0,36.6303021,127.4560907,,-76,
11137,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.59,31.48,1,0,400,33:16.0,36.6303021,127.4560907,,-74,
11138,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.31,38.48,1,23,400,33:15.0,36.6303021,127.4560907,,-92,
11139,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.59,31.48,1,0,400,33:16.0,36.6303021,127.4560907,,-77,
11140,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.56,31.53,1,0,400,33:18.0,36.6303021,127.4560907,,-75,
11141,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.56,31.53,1,0,400,33:18.0,36.63027084780829,127.45585034777278,,-75,
11142,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.35,35.58,1,7,400,33:20.0,36.63025099902865,127.45586285224555,,-96,
11143,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.56,31.73,1,0,400,33:22.0,36.63025099902865,127.45586285224555,,-88,
11144,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.55,31.83,1,0,400,33:24.0,36.63025099902865,127.45586285224555,,-79,
11145,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.6,32.03,1,0,400,33:26.0,36.63025099902865,127.45586285224555,,-81,
11146,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.62,32.23,1,0,400,33:30.0,36.63025099902865,127.45586285224555,,-83,
11147,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.7,32.22,1,0,400,33:34.0,36.6300607,127.4558206,,-82,
11148,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.14,35.14,1,3,400,33:34.0,36.6300607,127.4558206,,-93,
11149,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.13,35.27,1,8,400,33:36.0,36.6300607,127.4558206,,-91,
11150,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.11,35.31,1,16,400,33:38.0,36.6300607,127.4558206,,-92,
11151,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.72,32.22,1,0,400,33:40.0,36.6300607,127.4558206,,-82,
11152,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.72,32.22,1,0,400,33:40.0,36.6300607,127.4558206,,-79,
11153,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.73,32.25,1,0,400,33:42.0,36.6300607,127.4558206,,-84,
11154,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.78,32.27,1,0,400,33:44.0,36.6300607,127.4558206,,-81,
11155,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.83,32.22,1,0,400,33:46.0,36.6300607,127.4558206,,-82,
11156,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,19.9,36.17,1,21,400,33:48.0,36.6300607,127.4558206,,-90,
11157,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.93,32.06,1,0,400,33:52.0,36.630145,127.4559457,,-86,
11158,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.04,36.45,1,22,400,33:54.0,36.630145,127.4559457,,-91,
11159,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.04,36.45,1,22,400,33:54.0,36.630145,127.4559457,,-90,
11160,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.97,31.96,1,0,400,33:56.0,36.630145,127.4559457,,-86,
11161,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.04,36.45,1,22,400,33:54.0,36.630145,127.4559457,,-91,
11162,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.14,35.92,1,8,400,33:58.0,36.630259273825295,127.4558682610052,,-89,
11163,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.2,35.69,1,8,400,34:00.0,36.630259273825295,127.4558682610052,,-87,
11164,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.05,31.54,1,0,400,34:04.0,36.630259273825295,127.4558682610052,,-88,
11165,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.05,31.6,1,0,400,34:06.0,36.630259273825295,127.4558682610052,,-84,
11166,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.05,31.6,1,0,400,34:06.0,36.630259273825295,127.4558682610052,,-83,
11167,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.27,34.84,1,16,400,34:06.0,36.630259273825295,127.4558682610052,,-85,
11168,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.3,34.76,1,17,400,34:08.0,36.630259273825295,127.4558682610052,,-93,
11169,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.07,31.39,1,0,400,34:14.0,36.6301218,127.4559454,,-82,
11170,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.11,31.43,1,0,400,34:16.0,36.6301218,127.4559454,,-84,
11171,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.47,35.25,1,7,400,34:16.0,36.6301218,127.4559454,,-88,
11172,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.15,31.41,1,0,400,34:18.0,36.6301218,127.4559454,,-82,
11173,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.15,31.39,1,0,400,34:20.0,36.6301218,127.4559454,,-86,
11174,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.62,35.3,1,10,400,34:22.0,36.63024389034902,127.45587699359118,,-89,
11175,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.62,35.3,1,10,400,34:22.0,36.63024389034902,127.45587699359118,,-86,
11176,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.18,31.24,1,0,400,34:26.0,36.63024389034902,127.45587699359118,,-81,
11177,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.73,34.9,1,15,400,34:26.0,36.63024389034902,127.45587699359118,,-91,
11178,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.22,31.17,1,0,400,34:28.0,36.63024389034902,127.45587699359118,,-81,
11179,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.79,34.61,1,5,400,34:28.0,36.63024389034902,127.45587699359118,,-84,
11180,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.22,31.17,1,0,400,34:28.0,36.63024389034902,127.45587699359118,,-82,
11181,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.8,34.48,1,13,400,34:30.0,36.63024211094351,127.45589006367699,,-80,
11182,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.8,34.48,1,13,400,34:30.0,36.63023812399989,127.45592709810795,,-83,
11183,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.26,31.02,1,0,400,34:32.0,36.63023812399989,127.45592709810795,,-84,
11184,team 5,opensrc_team2,B8:27:EB:D3:40:06,18.95,39.58,1,9,400,34:31.0,36.63023812399989,127.45592709810795,,-94,
11185,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.87,34.64,1,8,400,34:32.0,36.63023812399989,127.45592709810795,,-85,
11186,team 5,opensrc_team2,B8:27:EB:D3:40:06,19.07,39.76,1,16,400,34:35.0,36.630233251514404,127.45596720227421,,-88,
11187,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.3,30.8,1,0,400,34:36.0,36.63022781,127.45597793872327,,-81,
11188,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.95,34.33,1,4,400,34:36.0,36.63022781,127.45597793872327,,-80,
11189,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.3,30.8,1,0,400,34:36.0,36.63022781,127.45597793872327,,-79,
11190,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.33,30.74,1,0,400,34:38.0,36.63022041414329,127.45599770882515,,-80,
11191,team 5,opensrc_team2,B8:27:EB:D3:40:06,19.18,39.8,1,13,400,34:39.0,36.63021505644994,127.45600710127394,,-88,
11192,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.34,30.55,1,0,400,34:40.0,36.63021505644994,127.45600710127394,,-83,
11193,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,21.07,34.31,1,16,400,34:40.0,36.63021505644994,127.45600710127394,,-81,
11194,team 5,opensrc_team4,D8:3A:DD:79:8F:80,22.31,30.48,1,0,400,34:42.0,36.63021505644994,127.45600710127394,,-80,
11195,team 5,opensrc_team2,B8:27:EB:D3:40:06,19.28,39.7,1,20,400,34:43.0,36.63021505644994,127.45600710127394,,-89,
